date_of_spill_edit,operator_edit,lease_facility_name,county_edit,type_operation,source,probable_cause_edit,release_crude_oil_edit,release_prod_water_edit,recovery_crude_oil_edit,recovery_prod_water_edit,spill_on_water_edit
2015-11-01,MEMORIAL PRODUCTION,,Loving,production,tank battery,MECHANICAL FAILURE,1050,36750,840,33600,NO
2015-11-19,MEMORIAL PRODUCTION,Hendricks-M,Winkler,production,tank battery,MECHANICAL FAILURE,630,1470,588,1260,NO
2015-12-03,MEMORIAL PRODUCTION,Hendrick 32 SWD,Winkler,injection/disposal,pump,CORROSION,0,66150,0,63000,NO
2016-01-07,MEMORIAL PRODUCTION,"Hendrick, Ida",Winkler,production,tank battery,MECHANICAL FAILURE,1680,8400,1470,7980,NO
2016-02-16,MEMORIAL PRODUCTION,"Brunson, Glenn 9-26",Loving,injection/disposal,tank battery,MECHANICAL FAILURE,0,13650,0,13440,NO
2016-08-23,MEMORIAL PRODUCTION,D.R. TAYLOR HEIRS #9,Shelby,PRODUCTION,TANK BATTERY,THEFT / VANDALISM,,84000,,,YES
2017-03-14,MEMORIAL PRODUCTION,N/A,Panola,GATHERING,TRANSFER LINE,CORROSION,,168000,,,NO
2017-03-24,MEMORIAL PRODUCTION,"PONE, E.M. GU",Rusk,PRODUCTION,TANK BATTERY,TANK OVERFLOW DUE TO POWER OUTAGE,,2436,,2436,
2017-05-20,MEMORIAL PRODUCTION,Kangera Bros,Rusk,production,tank battery,WEATHER,2940,12180,,,NO
2017-05-21,MEMORIAL PRODUCTION,Katherine,Rusk,PRODUCTION,TANK BATTERY,WEATHER,2940,12600,,,NO
2015-09-01,MEMORIAL RESOURCES,JJ SMITH UNIT NO. 1,Panola,drilling,FRAC TANK,HUMAN ERROR,420,420,,,NO
2019-07-02,MERCURY OPERATING,"Finley, W.T.",Archer,production,tank battery,MECHANICAL FAILURE,5838,168,,,NO
2015-11-14,MERIT ENERGY,Walnut Bend Field Unit,Cooke,injection/disposal,flowline,CORROSION,,4200,,,YES
2018-11-05,MERIT ENERGY,"Cox, D. A.",Cooke,production,flowline,CORROSION,168,4200,,2100,YES
2014-11-22,MERIT ENERGY CO.,Hall,Jones,Production,tank battery,WEATHER,12600,4200,0,0,NO
2015-07-25,MERIT ENERGY CO.,Lake Trammel Unit,Nolan,production,flowline,MECHANICAL FAILURE,3864,155400,840,26880,NO
2021-02-16,MERIT ENERGY CO.,McGee Central Process Facility,Harrison,Processing,Tank Battery,CORROSION,0,7560,0,840,NO
2013-01-22,MERIT ENERGY COMPANY,Penwell Unit,Ector,production,flowline,MECHANICAL FAILURE,6300,63000,4200,21000,NO
2013-03-05,MERIT ENERGY COMPANY,Westbrook Southwest Unit,Mitchell,production,flowline,CORROSION,8400,42000,0,0,NO
2013-04-28,MERIT ENERGY COMPANY,"Cope, R.L.",Sterling,production,tank battery,MECHANICAL FAILURE,4620,693,4284,336,NO
2013-05-01,MERIT ENERGY COMPANY,Sides Unit,Lubbock,injection/disposal,tank battery,MECHANICAL FAILURE,,84000,0,67200,NO
2013-06-12,MERIT ENERGY COMPANY,Duggan Slaughter Unit,Cochran,injection/disposal,flowline,CORROSION,0,10500,0,8820,NO
2013-06-21,MERIT ENERGY COMPANY,"Levelland ""C""",Hockley,injection/disposal,flowline,CORROSION,0,18480,0,0,NO
2013-07-16,MERIT ENERGY COMPANY,"Chalk, G.O.",Howard,production,flowline,MECHANICAL FAILURE,84,3360,0,3360,NO
2013-08-09,MERIT ENERGY COMPANY,"Wilkinson, F.A.",Hockley,production,tank battery,CORROSION,3150,840,3150,840,NO
2013-08-13,MERIT ENERGY COMPANY,Westbrook Southwest Unit,Mitchell,production,pump,MECHANICAL FAILURE,420,63000,420,42000,NO
2013-09-16,MERIT ENERGY COMPANY,"JRS Farms ""24A""",Upton,production,tank battery,HUMAN ERROR,2940,12600,,,NO
2013-11-15,MERIT ENERGY COMPANY,Lake Trammel Unit,Nolan,Production,Tank Battery,MECHANICAL FAILURE,4200,8400,840,4200,NO
2013-12-15,MERIT ENERGY COMPANY,Lake Trammel Unit,Nolan,injection/disposal,pump,MECHANICAL FAILURE,0,24360,0,21840,NO
2013-12-20,MERIT ENERGY COMPANY,"Wright, Ruby",Reagan,production,flowline,CORROSION,420,420,,,NO
2014-05-22,MERIT ENERGY COMPANY,"Walton, J.B. A/C 2",Winkler,production,tank battery,MECHANICAL FAILURE,840,420,798,378,NO
2014-06-16,MERIT ENERGY COMPANY,Lake Trammel Unit,Nolan,injection/disposal,Tank Battery,MECHANICAL FAILURE,2100,126000,0,0,NO
2014-06-23,MERIT ENERGY COMPANY,"Walton, J.B.",Winkler,production,tank battery,CORROSION,1260,840,0,0,NO
2014-08-08,MERIT ENERGY COMPANY,"Douthit, E.W. -C- DE",Howard,production,pump,MECHANICAL FAILURE,168,6720,168,168,NO
2014-09-12,MERIT ENERGY COMPANY,East Keystone (San A Holt Unit),Winkler,production,flowline,CORROSION,2730,126,2100,21,NO
2015-01-26,MERIT ENERGY COMPANY,Block 9 Unit,Andrews,injection/disposal,pump,MECHANICAL FAILURE,,2730,0,0,NO
2015-06-27,MERIT ENERGY COMPANY,"Snyder, D.H.",Howard,production,tank battery,MECHANICAL FAILURE,8862,33600,7728,25200,NO
2015-07-12,MERIT ENERGY COMPANY,Westbrook Southwest Unit,Mitchell,production,flowline,CORROSION,2520,5250,1890,5250,NO
2015-09-14,MERIT ENERGY COMPANY,"Walton, J.B.",Winkler,production,tank battery,MECHANICAL FAILURE,210,8400,210,7140,NO
2015-12-26,MERIT ENERGY COMPANY,Westbrook Southeast Unit,Mitchell,production,flowline,MECHANICAL FAILURE,630,4200,420,2100,NO
2016-01-03,MERIT ENERGY COMPANY,"Snyder, Susie B.",Howard,production,tank battery,MECHANICAL FAILURE,1050,4620,840,4200,NO
2016-06-19,MERIT ENERGY COMPANY,East Keystone (San A Holt Unit),Winkler,injection/disposal,flowline,CORROSION,0,840,0,0,NO
2016-07-13,MERIT ENERGY COMPANY,"Walton, J.B. A/C 2",Winkler,production,tank battery,MECHANICAL FAILURE,9240,1260,9240,1260,NO
2017-06-14,MERIT ENERGY COMPANY,Walnut Bend Field Unit No. 1,Cooke,production,flowline,CORROSION,121.8,12180,,1050,YES
2018-06-21,MERIT ENERGY COMPANY,Bentsen Gas Unit,Hidalgo,production,other,WEATHER,0,378,0,0,NO
2019-04-03,MERIT ENERGY COMPANY,Walnut Bend Field Unit,Cooke,production,flowline,,84,210,,,YES
2019-05-24,MERIT ENERGY COMPANY,Walnut Bend Field Unit No. 1,Cooke,production,flowline,unknown,84,6300,,,YES
2019-08-01,MERIT ENERGY COMPANY,Zamora-State,Hidalgo,production,other,HUMAN ERROR,,7482.3,,7180.74,NO
2020-07-20,MERIT ENERGY COMPANY,Boston Texas Land & Trust,Hidalgo,Production,Flowline,CORROSION,0,24570,0,3360,NO
2021-12-16,MERIT ENERGY COMPANY,Jeffress 32 Facility,Hidalgo,Production,Tank Battery,WEATHER,0,3612,0,3360,NO
2022-08-16,MERIT ENERGY COMPANY,DIXIE MORTGAGE-HOPKINS GAS UNI,Hidalgo,Production,Flowline,CORROSION,0,7980,0,2100,NO
2014-01-04,MESQUITE SWD INC,Mays,Martin,commercial disposal,tank battery,WEATHER,210,8400,210,8400,NO
2014-10-16,MESQUITE SWD INC,EZ Way SWD,Ector,commercial disposal,tank battery,THEFT / VANDALISM,0,42000,0,42000,NO
2013-12-09,MEWBOURNE OIL COMPANY,Broaddus '293' #1H,Lipscomb,production,tank battery,MECHANICAL FAILURE,168,1260,0,0,NO
2021-06-08,MEWBOURNE OIL COMPANY,University B20 2/11,Winkler,Production,Flowline,MECHANICAL FAILURE,840,420,420,0,NO
2021-07-22,MEWBOURNE OIL COMPANY,"Calverley, J.B. Estate",Glasscock,Injection/Disposal,Well,MECHANICAL FAILURE,0,23100,0,5880,NO
2017-07-22,MEXTEX OPERATING COMPANY,Russell Ranch,Menard,production,tank battery,CORROSION,420,7980,84,4200,NO
2014-12-10,MGM OIL & GAS COMPANY,Roxie -B-,Howard,injection/disposal,flowline,CORROSION,,8400,0,0,NO
2014-06-17,MID-CON ENERGY OPERATING INC,Bivins Ranch,Potter,production,tank battery,MECHANICAL FAILURE,,16800,,16800,NO
2014-04-09,MID-STATES OPERATING COMPANY,Brown And Echols,Dawson,commercial disposal,flowline,HUMAN ERROR,0,5040,0,4830,NO
2016-06-15,MID-STATES OPERATING COMPANY,Stewart,Andrews,commercial disposal,tank battery,HUMAN ERROR,0,4200,0,3780,NO
2017-04-17,MID-STATES OPERATING COMPANY,"Wigley ""37""",Midland,production,tank battery,HUMAN ERROR,714,210,630,210,NO
2019-11-09,MID-STATES OPERATING COMPANY,Wishbone,Martin,Production,Well,MECHANICAL FAILURE,0,26250,0,25200,NO
2021-06-03,MID-STATES OPERATING COMPANY,"Horton ""34""",Midland,Injection/Disposal,Tank Battery,MECHANICAL FAILURE,0,29400,0,25200,NO
2022-11-21,MID-STATES OPERATING COMPANY,Wishbone,Martin,Injection/Disposal,Other,Other,0,10920,0,10500,NO
2015-12-18,MIDSTATES PETROLEUM,Lesa Lynette 1027 #1H,Lipscomb,production,tank battery,MECHANICAL FAILURE,,630,0,0,NO
2018-02-05,MIDSTATES PETROLEUM,Dooney 997,Lipscomb,production,tank battery,WEATHER,,2856,,,NO
2013-08-18,Milagro Exploration,"Cockburn, H.C.",Wharton,Production,gathering line,CORROSION,,8400,,6300,YES
2014-09-18,Milagro Exploration,Cockburn Deep Frio Unit No. 1,Wharton,Production,gathering line,CORROSION,,4410,,4410,no
2013-02-13,"MILAGRO EXPLORATION, LLC",West Chico Unit,Wise,commercial disposal,tank battery,unknown,420,4200,420,4200,NO
2013-09-06,"Milagro Exploration, LLC","Cockburn, H.C.",Wharton,Production,gathering line,unknown,,1050,,1050,no
2014-02-03,"Milagro Exploration, LLC","Cockburn, HC",Wharton,Production,other,other,168,84000,168,84000,no
2014-03-19,"Milagro Exploration, LLC","Cockburn, H. C.",Wharton,injection/disposal,gathering line,other,,8400,,8190,no
2022-06-16,"MILESTONE ENVIRO SERVICES, LLC",ATASCOSA SWD,Atascosa,Production,Vehicle,Third Party,0,210,0,,NO
2014-03-06,MILLENNIUM RESOURCES,"Yates, I.G.",Pecos,production,pump,MECHANICAL FAILURE,1260,4200,1050,3780,NO
2016-03-31,MILLENNIUM RESOURCES,"Yates, I.G.",Pecos,injection/disposal,tank battery,MECHANICAL FAILURE,0,840,0,0,NO
2016-04-18,MILLENNIUM RESOURCES,"Yates, I.G.",Pecos,injection/disposal,tank battery,WEATHER,42,840,0,0,NO
2016-05-17,MILLENNIUM RESOURCES,"Yates, I.G. -A-",Pecos,injection/disposal,tank battery,MECHANICAL FAILURE,0,1470,0,1260,NO
2016-05-26,MILLENNIUM RESOURCES,"Gaskin, J.D. Et Al",Howard,production,tank battery,WEATHER,252,1050,0,0,NO
2016-05-26,MILLENNIUM RESOURCES,"Gaskins, J.D. Et Al -A-",Howard,production,tank battery,WEATHER,252,1050,0,0,NO
2016-05-26,MILLENNIUM RESOURCES,"Cowden, Houston -A-",Howard,production,tank battery,WEATHER,252,1050,0,0,NO
2016-05-26,MILLENNIUM RESOURCES,"Waldron ""A""",Howard,production,tank battery,WEATHER,252,1050,0,0,NO
2016-06-08,MILLENNIUM RESOURCES,"Yates, I.G.",Pecos,production,flowline,CORROSION,420,420,0,0,NO
2016-06-12,MILLENNIUM RESOURCES,Tippett -E-Shallow,Pecos,production,tank battery,THEFT / VANDALISM,126,8400,126,7980,NO
2016-11-27,MILLENNIUM RESOURCES,"Yates, I.G.",Pecos,injection/disposal,tank battery,MECHANICAL FAILURE,0,168,0,0,NO
2017-08-16,MILLENNIUM RESOURCES,West Moore Unit,Howard,production,flowline,CORROSION,10.5,21,10.5,21,NO
2013-09-24,"MINERAL TECHNOLOGIES, INC.",Canon-Allison -84-,Pecos,injection/disposal,well,WEATHER,,4200,0,0,YES
2014-11-08,"MIOCENE OIL & GAS, LTD.",Pen Branch (Upper Strawn) Unit,King,injection/disposal,well,MECHANICAL FAILURE,0,2100,0,0,NO
2018-07-07,MISSION PETROLEUM,FM2104 & GRASSY CREEK RD,Bastrop,TRANSPORT,TRUCK,HUMAN ERROR,7854,42,0,0,
2014-01-10,MODENA OPERATING LLC,La Playa Mid Frio Unit,Kleberg,production,well,THEFT / VANDALISM,,1974,,0,NO
2013-01-05,"MOLOPO ENERGY TEXAS, LLC",Parker GH,Crockett,production,tank battery,MECHANICAL FAILURE,2520,4200,2100,4200,NO
2015-09-07,MOMENTUM ENERGY,Waddell Bros.,Winkler,production,tank battery,CORROSION,630,210,0,0,NO
2021-04-05,MOMENTUM ENERGY,Midway Lane 1100 Unit,Crockett,Production,Flowline,CORROSION,924,2016,714,1596,NO
2021-11-07,MOMENTUM ENERGY,Midway Lane 1100 Unit,Crockett,Production,Tank Battery,CORROSION,630,31500,609,31332,NO
2019-06-08,Monadnock Resources,Pipeline Area,Yoakum,commercial disposal,pipeline,MECHANICAL FAILURE,,1470000,42,0,NO
2017-09-15,Mont Belvieu Caverns,West Storage Terminal,Chambers,injection/disposal,pit,unknown,,3360,,0,no
2021-05-11,"MONT BELVIEU CAVERNS, LLC",East Storage Terminal,Chambers,Other,Pipeline,CORROSION,,210,,,YES
2022-02-24,"MORIAH OPERATING, LLC",Jill Unit,Fisher,Production,Tank Battery,CORROSION,4200,2730,840,,NO
2018-03-23,MOSS SWD LLC,"Cowden, E. F. -40-",Ector,injection/disposal,tank battery,MECHANICAL FAILURE,0,4200,0,3780,NO
2013-08-02,MTN ENERGY INC,Mendoza SWD,Reeves,commercial disposal,well,MECHANICAL FAILURE,0,630,0,0,NO
2014-04-23,MTN ENERGY INC,"Dewitt, Bill",Pecos,commercial disposal,flowline,CORROSION,0,126,0,0,NO
2015-10-08,MTN ENERGY INC,Saddle Bronc,Ector,commercial disposal,tank battery,WEATHER,0,14700,0,3360,NO
2015-12-15,MTN ENERGY INC,Schwartz SWD,Glasscock,commercial disposal,flowline,CORROSION,0,12600,0,0,NO
2016-04-14,MTN ENERGY INC,"Dewitt, Bill",Pecos,commercial disposal,flowline,MECHANICAL FAILURE,0,6300,0,0,NO
2017-01-06,MTN ENERGY INC,Freeman,Andrews,commercial disposal,flowline,WEATHER,0,67200,0,67200,NO
2017-06-22,MTN ENERGY INC,Saddle Bronc,Ector,commercial disposal,tank battery,MECHANICAL FAILURE,42,840,0,0,NO
2018-04-26,MTN ENERGY INC,Holifield,Midland,injection/disposal,well,MECHANICAL FAILURE,0,42000,0,,NO
2021-09-17,"MUELLER EXPLORATION, INC.",RALLY EAGLE,Frio,Production,Tank Battery,MECHANICAL FAILURE,630,4200,609,,NO
2013-07-17,MURPHY EXPLORATION & PRODUCTION,Schendel,Karnes,Production,Equipment,Failure,4536,4536,4536,4536,NO
2014-09-30,Murphy Exploration & Production,Anthony West Unit,Atascosa,Production,Vac Truck,Valve Left Open,126,126,,,No
2014-11-13,MURPHY EXPLORATION & PRODUCTION,KC Unit,Karnes,Production,Transferring Oil,Valve left open.,105,42,,0,
2014-11-15,MURPHY EXPLORATION & PRODUCTION,Janysek Unit,Karnes,Production,Storage Tank,Tank overflowed - equipment malfunction,697.2,42,0,0,
2014-11-24,MURPHY EXPLORATION & PRODUCTION,Drees Unit,Karnes,Production,Fitting,leak from a fitting,9.66,42,0,0,
2014-12-18,MURPHY EXPLORATION & PRODUCTION,Y-Bar,La Salle,Production,Flowline,Crack,178.08,42,0,0,
2014-12-25,MURPHY EXPLORATION & PRODUCTION,Dove West Unit,Karnes,Production,Tank Battery,Pipe broke during cleanup,3.78,42,0,0,
2015-01-31,MURPHY EXPLORATION & PRODUCTION,Jambers,McMullen,Production,Casing Valve,Opened,79.8,42,79.8,0,
2015-02-16,MURPHY EXPLORATION & PRODUCTION,Pipeline,McMullen,,,,373.8,42,,0,
2015-02-16,MURPHY EXPLORATION & PRODUCTION,Baring,McMullen,Production,Riser,Struck by backhoe.,239.4,42,42,0,
2015-03-06,MURPHY EXPLORATION & PRODUCTION,KC Unit,Karnes,Production,Tanker Truck,Overflow,210,42,0,0,
2015-03-09,MURPHY EXPLORATION & PRODUCTION,Joseph Unit,Karnes,Production,Tanker Truck,Overflow,0,42,0,0,
2015-03-12,MURPHY EXPLORATION & PRODUCTION,Mods Unit A,Atascosa,Production,Load line,,40.74,42,0,0,
2015-03-16,MURPHY EXPLORATION & PRODUCTION,Manka,Karnes,Production,Separator,high press,42,42,,0,
2015-03-26,MURPHY EXPLORATION & PRODUCTION,Armand Unit,Karnes,Production,Hammer Union,Leaking,315,42,0,0,
2015-04-23,MURPHY EXPLORATION & PRODUCTION,Bek Unit,McMullen,Production,Pipeline,Leak,840,42,0,0,NO
2015-06-29,MURPHY EXPLORATION & PRODUCTION,D H Unit,Atascosa,Production,Tank,Valve,84,42,0,0,
2015-11-23,MURPHY EXPLORATION & PRODUCTION,Tom Rough pipeline,Atascosa,Production,Pipline Leak,CORROSION,84000,42,0,0,
2016-01-12,MURPHY EXPLORATION & PRODUCTION,BROS UNIT,Atascosa,PIPELINE,PIPELINE,PIPELINE LEAK,2814,42,588,0,
2016-01-19,MURPHY EXPLORATION & PRODUCTION,BRIGGS,Dimmit,PRODUCTION,PIPELINE,CORROSION,1260,42,0,0,
2016-03-11,MURPHY EXPLORATION & PRODUCTION,HIRSCH UNIT,Atascosa,PRODUCTION,FRAC TANK,MECHANICAL FAILURE,7476,42,0,0,
2016-03-18,MURPHY EXPLORATION & PRODUCTION,CARVER UNIT,McMullen,PRODUCTION,FLOWLINE,MECHANICAL FAILURE,2100,42,0,0,
2016-06-28,MURPHY EXPLORATION & PRODUCTION,BRIGGS,Dimmit,PRODUCTION,GATHERING LINE,UNKNOWN,336,42,0,0,
2016-07-17,MURPHY EXPLORATION & PRODUCTION,L. KELLNER UNIT,Atascosa,PRODUCTION,FLOWLINE,UNKNOWN,1512,42,0,0,
2017-02-15,MURPHY EXPLORATION & PRODUCTION,STUMBERG-KING UNIT,Dimmit,PRODUCTION,PUMP,MECHANICAL FAILURE,9240,42,0,0,
2017-03-09,MURPHY EXPLORATION & PRODUCTION,BRIGGS,Dimmit,PRODUCTION,FLOWLINE,LEAK,5040,336,2814,0,NO
2017-12-02,MURPHY EXPLORATION & PRODUCTION,WILLIAMS UNIT,Atascosa,PRODUCTION,FLOWLINE,MECHANICAL FAILURE,364.14,42,0,0,
2018-01-31,MURPHY EXPLORATION & PRODUCTION,KAT UNIT,Karnes,PRODUCTION,TRANSFER PUMP,MECHANICAL FAILURE,756,42,0,0,
2018-08-04,MURPHY EXPLORATION & PRODUCTION,"8.63"" Crude Oil FWS, Scared Dog System",Atascosa,TRANSPORT,PIPELINE,MECHANICAL FAILURE,42,42,0,0,
2018-08-08,MURPHY EXPLORATION & PRODUCTION,STEIN LATERAL-NORTH TILDEN GATHERING SYSTEM,Atascosa,TRANSPORT,PIPELINE,CORROSION,0,42,0,0,
2018-10-11,MURPHY EXPLORATION & PRODUCTION,STEIN UNIT A,Atascosa,PRODUCTION,PIPELINE,MECHANICAL FAILURE,0,42,0,,NO
2018-11-18,MURPHY EXPLORATION & PRODUCTION,BRIGGS NORTH CPF,Dimmit,PRODUCTION,TANK BATTERY,MECHANICAL FAILURE,0,2814,0,,NO
2019-08-15,MURPHY EXPLORATION & PRODUCTION,WALNUT,Atascosa,PRODUCTION,TANK BATTERY,HUMAN ERROR,5040,1680,,,NO
2020-12-15,MURPHY EXPLORATION & PRODUCTION,S & H Trust,Atascosa,Production,Flowline,CORROSION,299.04,448.56,79.8,117.6,NO
2020-12-29,MURPHY EXPLORATION & PRODUCTION,Moursund Unit 1H-2H,Atascosa,Production,Tank Battery,MECHANICAL FAILURE,10752,2688,,,NO
2014-08-26,NABORS COMP & PROD SERV CO,Univ 31-4,Crockett,commercial disposal,tank battery,CORROSION,,33600,,31500,NO
2015-05-15,NABORS COMPLETION & PRODUCTION,Weatherby,Reagan,injection/disposal,tank battery,WEATHER,210,33600,210,33600,NO
2014-01-21,"NADEL AND GUSSMAN PERMIAN, L.L.C.",Charger 16,Glasscock,drilling,tank battery,HUMAN ERROR,0,1260,0,0,NO
2014-03-03,"NADEL AND GUSSMAN PERMIAN, L.L.C.",Charger 16,Glasscock,production,flowline,MECHANICAL FAILURE,126,714,0,0,NO
2014-09-10,"NADEL AND GUSSMAN PERMIAN, L.L.C.",University -JB-,Andrews,production,well,HUMAN ERROR,84,3276,84,3234,NO
2015-02-22,"NADEL AND GUSSMAN PERMIAN, L.L.C.",Charger 16,Glasscock,production,well,WEATHER,840,840,0,0,NO
2015-03-05,"NADEL AND GUSSMAN PERMIAN, L.L.C.",Charger 16,Glasscock,production,tank battery,WEATHER,336,504,252,420,NO
2016-11-18,NAVITAS MIDSTREAM,Spraberry Gas Plant,Midland,processing,plant,MECHANICAL FAILURE,0,840,0,0,NO
2018-05-03,NAVITAS MIDSTREAM,Pipeline,Glasscock,transportation,other,CORROSION,0,1680,0,210,NO
2022-01-17,NAVITAS MIDSTREAM,P7-5-12,Martin,Production,Gathering Line,HUMAN ERROR,210,210,0,0,NO
2017-05-21,NBL PERMIAN LLC,St. Clair 182 Unit,Reeves,injection/disposal,tank battery,MECHANICAL FAILURE,0,18060,0,18060,NO
2017-06-14,NBL PERMIAN LLC,CWEI-CHK 35-52-8,Reeves,production,tank battery,MECHANICAL FAILURE,336,504,0,0,NO
2017-08-18,NBL PERMIAN LLC,Thurman 143-13,Reeves,production,tank battery,MECHANICAL FAILURE,210,1890,210,1890,NO
2017-10-07,NBL PERMIAN LLC,CWEI-CHK 32-51-8,Reeves,production,well,MECHANICAL FAILURE,420,840,378,840,NO
2017-11-19,NBL PERMIAN LLC,St. Claire 182 Unit,Reeves,injection/disposal,tank battery,MECHANICAL FAILURE,0,16800,0,0,NO
2018-03-22,NBL PERMIAN LLC,CWEI-CHK 190-13,Reeves,other,pipeline,MECHANICAL FAILURE,0,21000,0,18900,NO
2018-06-10,NBL PERMIAN LLC,"CWEI-CHK ""35-52-8""",Reeves,production,well,CORROSION,420,210,294,210,NO
2018-07-05,NBL PERMIAN LLC,Carson Oil Unit,Ward,production,tank battery,HUMAN ERROR,420,630,,,NO
2017-12-28,"NEFF, MICKEY OIL COMPANY INC.","Burney, O.L.",Scurry,production,flowline,CORROSION,168,2100,126,2058,NO
2022-09-13,NEG OPERATING,Goldsmith Adobe Unit,Ector,Production,Tank Battery,CORROSION,1050,4200,840,3150,NO
2016-04-28,NEW GULF RES. LLC,Homer Coleman,Leon,production,tank battery,MECHANICAL FAILURE,420,420,,,NO
2014-08-04,"NEWARK E & P OPERATING, LLC",Hidden Springs,Palo Pinto,Production,flowline,MECHANICAL FAILURE,0,2100,0,0,NO
2014-09-19,"NEWARK E & P OPERATING, LLC",Hidden Springs,Palo Pinto,transportation,other,HUMAN ERROR,0,840,0,798,NO
2015-11-13,"NEWARK E & P OPERATING, LLC",Seale,Palo Pinto,production,flowline,MECHANICAL FAILURE,0,210,0,0,NO
2015-11-16,"NEWARK E & P OPERATING, LLC",Seale,Palo Pinto,production,flowline,MECHANICAL FAILURE,0,210,0,210,NO
2017-06-08,"NEWARK E & P OPERATING, LLC",Colleen,Palo Pinto,production,flowline,CORROSION,0,630,0,0,NO
2017-06-20,"NEWARK E & P OPERATING, LLC",Triangle J SWD,Palo Pinto,production,flowline,MECHANICAL FAILURE,168,23730,168,21840,NO
2013-08-22,NEWFIELD,CMWWA 4303,Dimmit,Production,Sump frac tank,Pin hole leak,0,1050,0,840,NO
2013-10-08,NEWFIELD,CMWW A,Dimmit,Production,Coupling,Hole,294,294,273,273,NO
2014-01-30,NEWFIELD EXPLORATION,Alley,Webb,production,gathering line,CORROSION,,1176,,1050,NO
2014-02-06,NEWFIELD EXPLORATION,Britt Ranch B 45 E,Wheeler,production,tank battery,WEATHER,,2520,,0,NO
2014-02-11,NEWFIELD EXPLORATION,"East, Mrs. S.K. #9",Kenedy,transportation,vehicle,HUMAN ERROR,,4620,,0,NO
2014-03-04,NEWFIELD EXPLORATION,Britt Ranch Unit,Wheeler,production,tank battery,WEATHER,,5166,,2436,NO
2014-05-12,NEWFIELD EXPLORATION,Moro Creek East Central Tank Battery,Dimmit,,Heater Treater,Gasket Failure,441,189,210,0,NO
2014-07-13,NEWFIELD EXPLORATION,Britt Ranch Unit,Wheeler,production,tank battery,WEATHER,,9156,,756,NO
2015-01-25,NEWFIELD EXPLORATION,Cage Ranch,Maverick,Production,Tank,Failed valve,2100,42,0,0,
2015-01-25,NEWFIELD EXPLORATION,Cage Ranch,Maverick,Production,Tank,Failed valve,2100,42,0,0,
2015-04-01,NEWFIELD EXPLORATION,Poulter 34,Terrell,production,well,WEATHER,3444,4620,0,0,NO
2015-11-18,NEWFIELD EXPLORATION,"Rucias, N. (FB E)",Brooks,injection/disposal,well,CORROSION,0,1890,0,1848,NO
2018-10-08,"NEWPORT OPERATING, LLC",Preston,Wichita,production,tank battery,MECHANICAL FAILURE,420,840,,,NO
2015-02-22,NGL WATER SOLUTIONS,HRW Howard SWD,Howard,commercial disposal,tank battery,HUMAN ERROR,210,840,0,0,NO
2016-04-18,NGL WATER SOLUTIONS,PEARSALL SWD,Frio,INJ/DISPOSAL,TANK BATTERY,WEATHER,210,42,210,0,
2017-08-12,NGL WATER SOLUTIONS,Reagan 333 SWD,Reagan,injection/disposal,tank battery,WEATHER,2100,93450,2100,93450,NO
2018-02-20,NGL WATER SOLUTIONS,CPD Reeves SWD,Reeves,production,tank battery,WEATHER,42,36120,0,29400,NO
2018-04-01,NGL WATER SOLUTIONS,PEARSALL SWD,Frio,PRODUCTION,TANK BATTERY,HUMAN ERROR,10500,42,0,0,
2018-05-13,NGL WATER SOLUTIONS,Reeves 2723,Reeves,,pipeline,MECHANICAL FAILURE,0,7560,0,,NO
2018-07-09,NGL WATER SOLUTIONS,Midland 817 SWD,Midland,injection/disposal,tank battery,MECHANICAL FAILURE,0,90300,0,90300,NO
2018-10-22,NGL WATER SOLUTIONS,Ramsey 12A,Reeves,production,well,MECHANICAL FAILURE,0,12600,0,,NO
2018-11-07,NGL WATER SOLUTIONS,LANDER,McMullen,PRODUCTION,TANK BATTERY,HUMAN ERROR,210,6300,210,6300,NO
2018-11-13,NGL WATER SOLUTIONS,HRW Howard SWD,Howard,injection/disposal,tank battery,other,0,12600,0,,NO
2018-11-29,NGL WATER SOLUTIONS,Reeves 25 SWD,Reeves,production,tank battery,HUMAN ERROR,0,42000,0,12600,NO
2019-01-24,NGL WATER SOLUTIONS,Ramsey GE 10,Culberson,production,tank battery,MECHANICAL FAILURE,0,147000,0,,NO
2019-02-01,NGL WATER SOLUTIONS,North Reeves 5885 SWD,Reeves,injection/disposal,flowline,MECHANICAL FAILURE,0,294000,0,292320,NO
2019-05-18,NGL WATER SOLUTIONS,Ramsey 12A,Reeves,injection/disposal,tank battery,MECHANICAL FAILURE,0,302400,0,0,NO
2019-05-21,NGL WATER SOLUTIONS,Mays,Martin,injection/disposal,well,MECHANICAL FAILURE,0,32760,0,10920,NO
2020-07-27,NGL WATER SOLUTIONS,Cotulla SWD,La Salle,Injection/Disposal,Tank Battery,MECHANICAL FAILURE,0,146580,0,92820,NO
2020-09-21,NGL WATER SOLUTIONS,Barnhart 687 SWD,Irion,Injection/Disposal,Tank Battery,MECHANICAL FAILURE,0,210,0,0,NO
2022-12-16,NGL WATER SOLUTIONS,Martin SWD,Martin,Production,Tank Battery,Other,0,84000,0,84000,NO
2017-07-07,NOBLE ENERGY,,Reeves,transportation,pipeline,HUMAN ERROR,0,420,0,0,NO
2019-03-01,NOBLE ENERGY,Blake Fowler Unit,Reeves,production,flowline,MECHANICAL FAILURE,420,420,0,0,NO
